original_text,label,cleaned_text,label_num
"For High Cholesterol, Finely dice an onion and mix it with 1 cup buttermilk along with ¼ teaspoon black pepper (kali mirch) powder and drink. Regularly intake garlic (lasan) cloves for a few days. Regularly intake coriander (dhania) decoction made by boiling 2 teaspoon dry seed powder in 1 cup water. (Milk and sugar can be added to improve its taste. This could be a welcome substitute for tea or coffee.)",borderline,high cholesterol finely dice onion mix cup buttermilk along teaspoon black pepper kali mirch powder drink regularly intake garlic lasan clove day regularly intake coriander dhania decoction made boiling teaspoon dry seed powder cup water milk sugar added improve taste could welcome substitute tea coffee,1.0
"For Boils, Slightly roast a big onion on a naked flame. Mash it and mix in teaspoon each turmeric powder and ghee. Apply and tie a bandage. Mash the garlic (lasan) cloves and apply externally. Ground neem leaves into a paste and apply on affected parts. Apply a paste of ginger (adrak) powder and turmeric (haldi) (1:1) on boils. Grind some black cumin (kala jeera) seeds in a little water and apply the paste on the affected areas. Heat black pepper powder in ½ teaspoon ghee until charred. Use this as an ointment. Take fenugreek leaf (methi patta) paste, heat it and when lukewarm, apply on the affected parts of the body. Soak bread in warm milk and sandwich the mixture in-between the folds of a clean cotton cloth. Apply this poultice to the boil and hold in place with a cotton bandage. This draws the dirt to the surface of the skin and simultaneously bursts the boil.",borderline,boil slightly roast big onion naked flame mash mix teaspoon turmeric powder ghee apply tie bandage mash garlic lasan clove apply externally ground neem leaf paste apply affected part apply paste ginger adrak powder turmeric haldi boil grind black cumin kala jeera seed little water apply paste affected area heat black pepper powder teaspoon ghee charred use ointment take fenugreek leaf methi patta paste heat lukewarm apply affected part body soak bread warm milk sandwich mixture inbetween fold clean cotton cloth apply poultice boil hold place cotton bandage draw dirt surface skin simultaneously burst boil,1.0
"For Body Pain, Boil 3 tablespoon powdered nutmeg (jaiphal) in 1 cup sesame oil (til ka tel). Cool and apply on affected parts.",borderline,body pain boil tablespoon powdered nutmeg jaiphal cup sesame oil til ka tel cool apply affected part,1.0
"For Body Burns, Mash a ripe banana and apply on burns. Bandage with betel leaves (pan ka patta). If you have a minor burn, immediately place an ice pack on the burnt area for 10 minutes. Combine 4 teaspoon each of lime juice, coconut oil and rub until the betel leaves mixture turns white. Apply on affected parts. Apply curry leaves (kari patta) as poultices over affected areas. Spread a thin layer of honey over the burn and cover with a dressing. Repeat this regularly every two or three hours till it heals. Burns by fire Immediately apply glycerine on the burnt area. Burn a handful of mango leaves to ashes and apply this on the affected parts.",borderline,body burn mash ripe banana apply burn bandage betel leaf pan ka patta minor burn immediately place ice pack burnt area minute combine teaspoon lime juice coconut oil rub betel leaf mixture turn white apply affected part apply curry leaf kari patta poultice affected area spread thin layer honey burn cover dressing repeat regularly every two three hour till heals burn fire immediately apply glycerine burnt area burn handful mango leaf ash apply affected part,1.0
"For Hair Thinning, Bathe the hair in 1 cup coconut milk twice or thrice a week for a few months.",borderline,hair thinning bathe hair cup coconut milk twice thrice week month,1.0
"For epilepsy, apply fresh lime juice on the head. Massage well before showering off.",pseudoscientific,epilepsy apply fresh lime juice head massage well showering,2.0
"Okay, this is a new one for me! Placing ice on spots like the neck to trigger brown fat and burn more calories? Sounds interesting... might have to investigate!",borderline,okay new one placing ice spot like neck trigger brown fat burn calorie sound interesting might investigate,1.0
"For Bad Odour, use neem twigs as tooth paste. Powder the dried mint (pudina) leaves. Use as toothpowder",borderline,bad odour use neem twig tooth paste powder dried mint pudina leaf use toothpowder,1.0
"For Tired Eyes, Lavender oil offers gentle relief for tired and strained eyes. Add a drop of lavender oil to 500 ml (2½ cups) of water and shake the solution well. Dip two cotton wool pads in the liquid, squeeze out the excess water and place one pad over each eye. If you wear contact lenses, they must be removed beforehand.",borderline,tired eye lavender oil offer gentle relief tired strained eye add drop lavender oil ml cup water shake solution well dip two cotton wool pad liquid squeeze excess water place one pad eye wear contact lens must removed beforehand,1.0
CDS or MMS1 is great for eliminating allergies and 100% safe for pregnant and nursing moms.,pseudoscientific,cd mm great eliminating allergy safe pregnant nursing mom,2.0
"For Eye Aching, powder equal quantities of liquorice (mulathi) and cumin (jeera). Take ¼ teaspoon every day along with 1 teaspoon honey for a month. Eyes burning w Mash 1 ripe banana along with a little curd and water; take twice a day. Mix equal quantities of fenugreek seed (methi daana) powder along with Shikakai powder for washing hair. Wash frequently. Grind an onion with 1 teaspoon each black pepper and poppy seeds (khuskhus) soaked in ½ cup milk. Apply this paste on the head. Allow it to dry for 15-20 minutes. Wash in warm water. Mix the juice of bottle gourd (karela) and sesame oil (til ka tel) in the ratio of 4:1, and heat till the moisture is evaporated completely. Once cool, use it for massaging the head.",borderline,eye aching powder equal quantity liquorice mulathi cumin jeera take teaspoon every day along teaspoon honey month eye burning w mash ripe banana along little curd water take twice day mix equal quantity fenugreek seed methi daana powder along shikakai powder washing hair wash frequently grind onion teaspoon black pepper poppy seed khuskhus soaked cup milk apply paste head allow dry minute wash warm water mix juice bottle gourd karela sesame oil til ka tel ratio heat till moisture evaporated completely cool use massaging head,1.0
"For Ear pain due to boils use the folowing :,Heat 1 teaspoon each of garlic (lasan) and carom seeds (ajwain) in 2 tablespoon gingelly oil (til ka tel) till they turn red in colour. Strain and cool. When cooled to body temperature, put some drops into the ears.",borderline,ear pain due boil use folowing heat teaspoon garlic lasan carom seed ajwain tablespoon gingelly oil til ka tel till turn red colour strain cool cooled body temperature put drop ear,1.0
"For bed wetting in children, give 2 walnut halves (akhrot giri) and 1 teaspoon of kishmish to the child before sleeping for 10-12 days. Belching (dakaar) Grind 2 teaspoon each carom seeds (ajwain) and dried ginger (adrak) into a fine powder. Add a little black salt (kala namak). Take 1 teaspoon of this mixture with 1 cup warm water frequently.",borderline,bed wetting child give walnut half akhrot giri teaspoon kishmish child sleeping day belching dakaar grind teaspoon carom seed ajwain dried ginger adrak fine powder add little black salt kala namak take teaspoon mixture cup warm water frequently,1.0
"For Bladder Stones, boil 2 figs (anjeer) in 1 cup of water. Drink daily for a month.",borderline,bladder stone boil fig anjeer cup water drink daily month,1.0
"For Hair Falling, take a handful of neem leaves and boil them in 4 cups water. After cooling and filtering, use the decoction for rinsing hair. Mix equal quantities of dried curry leaves (curry patta), lime peel (nimbu ka chilka), Shikakai, fenugreek seeds (methi daana) & green gram (moong saboot) and grind them finely. Store and use as a substitute for soap or shampoo. Apply fenugreek (methi) seeds, ground with some water and the paste on the head. Allow to soak at least for 40 minutes before washing. Use every morning for a month.",borderline,hair falling take handful neem leaf boil cup water cooling filtering use decoction rinsing hair mix equal quantity dried curry leaf curry patta lime peel nimbu ka chilka shikakai fenugreek seed methi daana green gram moong saboot grind finely store use substitute soap shampoo apply fenugreek methi seed ground water paste head allow soak least minute washing use every morning month,1.0
"For Asthma, mix 1 teaspoon honey with ½ teaspoon cinnamon (dalchini) powder and have at night before going to bed. Boil carom seeds (ajwain) in water and inhale the steam. Boil 8-10 flakes of garlic (lasan) in ½ cup of milk. Have this every night. Gives excellent results in early stages of asthma. Add a handful of drumstick leaves (sahijan) to 1 cup water. Boil. Simmer on low flame for 3-4 minutes. Cool and strain. Add salt, pepper and lemon juice to taste. Have every day, once or twice a day. An expectorant and a very effective remedy for asthma is prepared by boiling 6 cloves (laung) in 3 tablespoons of water. Take 1 teaspoon of this decoction with a little honey, thrice daily. Mix ¼ teaspoon asafetida (hing), 2 teaspoon honey, ½ teaspoon juice from betel leaf (paan ka patta), ½ teaspoon white onion juice. Have it 2-3 times a day. To take out juice from betel leaf, clove flowers crush to a paste and squeeze through a clean muslin cloth. For onion juice, grate the onion and squeeze through a clean muslin cloth. Mix equal amounts of fresh ginger (adrak) juice, honey & pomegranate (anaar) juice. Take 1 tablespoon, 1-2 times a day. Figs (anjeer) are known to give relief by draining the phlegm (balgam). Take 3-4 dry figs, wash them well with warm water. Soak overnight in a cup of water. Eat them first thing in the morning and also drink the water. Do this for at least 2 months.",borderline,asthma mix teaspoon honey teaspoon cinnamon dalchini powder night going bed boil carom seed ajwain water inhale steam boil flake garlic lasan cup milk every night give excellent result early stage asthma add handful drumstick leaf sahijan cup water boil simmer low flame minute cool strain add salt pepper lemon juice taste every day twice day expectorant effective remedy asthma prepared boiling clove laung tablespoon water take teaspoon decoction little honey thrice daily mix teaspoon asafetida hing teaspoon honey teaspoon juice betel leaf paan ka patta teaspoon white onion juice time day take juice betel leaf clove flower crush paste squeeze clean muslin cloth onion juice grate onion squeeze clean muslin cloth mix equal amount fresh ginger adrak juice honey pomegranate anaar juice take tablespoon time day fig anjeer known give relief draining phlegm balgam take dry fig wash well warm water soak overnight cup water eat first thing morning also drink water least month,1.0
"For Gastroenteritis, a decoction of 15-20 tulsi leaves taken along with a pinch of rock salt (kala namak) helps in the cure.",borderline,gastroenteritis decoction tulsi leaf taken along pinch rock salt kala namak help cure,1.0
"For Backache, rub some ginger paste on the affected area. Apply oil of eucalyptus on it.",borderline,backache rub ginger paste affected area apply oil eucalyptus,1.0
"For Ear Infection, extract 1 teaspoon juice from mango leaves. Slightly warm and use as ear drops when bearably hot.""",pseudoscientific,ear infection extract teaspoon juice mango leaf slightly warm use ear drop bearably hot,2.0
Eating garlic or onions daily prevents or cures COVID-19 due to their antiviral properties.,pseudoscientific,eating garlic onion daily prevents cure covid due antiviral property,2.0
"For Hair Greying, wet a lemon half and rub lemon juice into the scalp well. Wash off after it turns dry. Grind 1 tablespoon each, pulp of amla and lime juice. Massage this into the hair before going to bed. Wash it next morning. Soak shredded ginger (adrak) in honey. Eat a spoonful every morning.",borderline,hair greying wet lemon half rub lemon juice scalp well wash turn dry grind tablespoon pulp amla lime juice massage hair going bed wash next morning soak shredded ginger adrak honey eat spoonful every morning,1.0
"Ever feel a sore throat coming on? Try this: crush a couple of garlic cloves and let them sit for 10 minutes (this activates allicin, the compound that gives garlic its germ-fighting powers). Mix with a tablespoon of raw honey and eat it like a syrup.",borderline,ever feel sore throat coming try crush couple garlic clove let sit minute activates allicin compound give garlic germfighting power mix tablespoon raw honey eat like syrup,1.0
Feeling wired or tense? Lemon balm tea is like a chill pill in plant form. This mint-family herb has been used for centuries to ease nerves—and modern studies back it up.,scientific,feeling wired tense lemon balm tea like chill pill plant form mintfamily herb used century ease nervesand modern study back,0.0
"Cacao is rich in magnesium, which helps regulate cortisol (your stress hormone) and relax muscles. Plus, it boosts serotonin and endorphins, your feel-good brain chemicals.",scientific,cacao rich magnesium help regulate cortisol stress hormone relax muscle plus boost serotonin endorphin feelgood brain chemical,0.0
"Spinach, kale, Swiss chard—these leafy greens are packed with folate and magnesium, both essential for a healthy mood. Low folate is linked to more anxiety and depression in several studies.",scientific,spinach kale swiss chardthese leafy green packed folate magnesium essential healthy mood low folate linked anxiety depression several study,0.0
"Papaya isn't just a tropical treat—it’s loaded with papain, an enzyme that helps break down proteins and ease bloating or that heavy-full feeling.",scientific,papaya isnt tropical treatits loaded papain enzyme help break protein ease bloating heavyfull feeling,0.0
Weird but cool: soaking pink Himalayan salt in water overnight creates something called 'sole' (pronounced so-lay). Some people swear it gives a mineral boost that hydrates you and helps balance adrenal function.,pseudoscientific,weird cool soaking pink himalayan salt water overnight creates something called sole pronounced solay people swear give mineral boost hydrate help balance adrenal function,2.0
"Not feeling like yourself? Check your sun time. Just 15–30 minutes of sunlight early in the day helps reset your circadian rhythm and boosts vitamin D, which plays a big role in mood regulation.",scientific,feeling like check sun time minute sunlight early day help reset circadian rhythm boost vitamin play big role mood regulation,0.0
"If coffee makes you anxious but you still need a mental boost, meet matcha. This powdered green tea gives you caffeine, plus L-theanine—a calming amino acid that smooths the ride.",scientific,coffee make anxious still need mental boost meet matcha powdered green tea give caffeine plus ltheaninea calming amino acid smooth ride,0.0
"Okay, they sound intense—but short bursts of cold water (even 30 seconds at the end of your shower) can help improve mood, circulation, and reduce inflammation.",scientific,okay sound intensebut short burst cold water even second end shower help improve mood circulation reduce inflammation,0.0
"Next time your throat feels scratchy, don’t run to the pharmacy—head to your kitchen. Mix half a teaspoon of salt into warm water and gargle.",scientific,next time throat feel scratchy dont run pharmacyhead kitchen mix half teaspoon salt warm water gargle,0.0
"Mosquitoes got you? Make a quick paste with baking soda and a few drops of water, and dab it right on the itchy spot.",borderline,mosquito got make quick paste baking soda drop water dab right itchy spot,1.0
"Minor kitchen burn or annoying zit? Reach for raw honey. It’s naturally antibacterial, keeps the area moist (so it heals faster), and even helps with scarring.",scientific,minor kitchen burn annoying zit reach raw honey naturally antibacterial keep area moist heals faster even help scarring,0.0
"It sounds backwards, but sometimes heartburn is from too little stomach acid, not too much. A teaspoon of ACV in a little water before meals can help balance things out.",borderline,sound backwards sometimes heartburn little stomach acid much teaspoon acv little water meal help balance thing,1.0
"If a tooth starts acting up and you can’t get to the dentist right away, grab a clove. Just gently bite down on it near the sore spot.",borderline,tooth start acting cant get dentist right away grab clove gently bite near sore spot,1.0
"Broccoli, Brussels sprouts, cabbage—they’re more than just good-for-you greens. They contain sulforaphane, a compound that helps support healthy cell cycles and detox pathways. Some research even links them to reduced recurrence risk in breast and prostate cancers.",scientific,broccoli brussels sprout cabbagetheyre goodforyou green contain sulforaphane compound help support healthy cell cycle detox pathway research even link reduced recurrence risk breast prostate cancer,0.0
"For Eyesight Weakness, mix seeds of cardamom (chhoti illaichi) along with 1 tablespoon honey. Eat every day. Boil 2 tablespoon fenugreek (methi) leaves along with ½ cup moong dal and 10 small onions and eat regularly. Mix equal quantities of fenugreek seeds (methi dana) powder along with Shikakai powder for washing hair. Wash frequently.",borderline,eyesight weakness mix seed cardamom chhoti illaichi along tablespoon honey eat every day boil tablespoon fenugreek methi leaf along cup moong dal small onion eat regularly mix equal quantity fenugreek seed methi dana powder along shikakai powder washing hair wash frequently,1.0
"For Heart burn, add 1 tablespoon mint (pudina) leaves to 1 cup water. Take twice or thrice a day",borderline,heart burn add tablespoon mint pudina leaf cup water take twice thrice day,1.0
Starting your day with warm lemon water isn’t just trendy—it can gently nudge your liver to start flushing out waste.,borderline,starting day warm lemon water isnt trendyit gently nudge liver start flushing waste,1.0
"This one’s been around for centuries—and science backs it up. Milk thistle contains silymarin, a compound known to protect liver cells and even help regenerate them after damage. It’s often used in natural protocols for fatty liver, toxin exposure, or general support during medications.",scientific,one around centuriesand science back milk thistle contains silymarin compound known protect liver cell even help regenerate damage often used natural protocol fatty liver toxin exposure general support medication,0.0
"If your liver’s been working overtime—thanks to meds, alcohol, or just life—milk thistle is a solid go-to. Its active compound silymarin helps protect liver cells and even supports regeneration. Some studies suggest it helps in cases of fatty liver, hepatitis, or toxin overload.",scientific,liver working overtimethanks med alcohol lifemilk thistle solid goto active compound silymarin help protect liver cell even support regeneration study suggest help case fatty liver hepatitis toxin overload,0.0
"NAC is a building block of glutathione, your body’s top antioxidant—and your liver lives on it. This supplement helps thin bile, clear out heavy metals, and protect against oxidative stress. Hospitals even use it in acetaminophen overdoses for liver rescue.",scientific,nac building block glutathione body top antioxidantand liver life supplement help thin bile clear heavy metal protect oxidative stress hospital even use acetaminophen overdoses liver rescue,0.0
"ALA works in both water- and fat-based cells, making it a powerful liver protector. It helps with insulin sensitivity and oxidative damage, both of which affect liver health.",scientific,ala work water fatbased cell making powerful liver protector help insulin sensitivity oxidative damage affect liver health,0.0
"Dandelion root is bitter, earthy, and deeply grounding—just like the work it does in your liver. It helps move stagnant bile, clear out sluggish toxins, and gently flush your internal filters.",borderline,dandelion root bitter earthy deeply groundingjust like work liver help move stagnant bile clear sluggish toxin gently flush internal filter,1.0
"Don’t be fooled by its name—this berry is not about flavor. Schisandra is a five-flavor fruit from traditional Chinese medicine that tones the liver like few others. It helps your body adapt to stress, detox gently, and protect your liver against toxins—all while boosting energy and mental clarity.",borderline,dont fooled namethis berry flavor schisandra fiveflavor fruit traditional chinese medicine tone liver like others help body adapt stress detox gently protect liver toxinsall boosting energy mental clarity,1.0
"When it’s time for a total system reset, burdock root dives deep. It’s a blood purifier, lymph mover, and liver helper all in one. Used in both Western and Eastern herbal traditions, burdock helps eliminate waste, clear skin eruptions, and reduce internal heat.",borderline,time total system reset burdock root dive deep blood purifier lymph mover liver helper one used western eastern herbal tradition burdock help eliminate waste clear skin eruption reduce internal heat,1.0
